Title,Authors,Session,Abstract,PDF,Paper Page
Diffusion-Driven Distillation and Contrastive Semantic Segmentation for Class-Incremental Learning of Laparoscopic Images,Xinkai Zhao;Yuichiro Hayashi;Masahiro Oda;Takayuki Kitasaka;Kensaku Mori,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
eNCApsulate: Neural Cellular Automata for Precision Diagnosis on Capsule Endoscopes,Henry Krumb;Anirban Mukhopadhyay,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Two-stream MeshCNN for key anatomical segmentation on the liver surface,Xukun Zhang;Sharib Ali;Minghao Han;Yanlan Kang;Xiaoying Wang;Lihua Zhang,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Stable Distance Regression via Spatial-Frequency State Space Model for Robot-Assisted Endomicroscopy,Mengyi Zhou;Chi Xu;Stamatia Giannarou,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Multimodal Imaging Platform for Enhanced Tumor Resection in Neurosurgery: Integrating Hyperspectral and pCLE Technologies,Alfie Roddan;Tobias Czempiel;Chi Xu;Haozheng Xu;Alistair Weld;Giluio Anichini;Daniel Elson;Stamatia Giannarou,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Generating 3D Pseudo-Healthy Knee MR Images to Support Trochleoplasty Planning,Michael Wehrli;Alicia Durrer;Paul Friedrich;Volodimir Buchakchiyskiy;Marcus Mumme;Edwin Li;Gyözö Lehoczky;Carol-Claudius Hasler;Philippe C. Cattin,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Surgeons vs. computer vision: A comparative analysis on surgical phase recognition capabilities,Marco Mezzina;Pieter De Backer;Tom Vercauteren;Matthew Blaschko;Alexandre Mottrie;Tinne Tuytelaars,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Robotic CBCT Meets Robotic Ultrasound,Feng Li;Yuan Bi;Dianye Huang;Zhongliang Jiang;Nassir Navab,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Training-free Temporal Object Tracking in Surgical Videos,Subhadeep Koley;Abdolrahim Kadkhodamohammadi;Santiago Barbarisi;Danail Stoyanov;Imanol Luengo,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Airway Labeling Meets Clinical Applications: Reflecting Topology Consistency and Abnormality via Learnable Attentions,Chenyu Li;Minghui Zhang;Chuyan Zhang;Yun Gu,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
A-MFST: Adaptive Multi-Flow Sparse Tracker for Real-Time Tissue Tracking Under Occlusion,Yuxin Chen;Zijian Wu;Adam Schmidt;Septimiu Salcudean,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Automatic Multi-view X-ray/CT Registration using Bone Substructure Contours,Roman Flepp;Leon Nissen;Bastian Sigrist;Arend Nieuwland;Nicola Cavalcanti;Philipp Fürnstahl;Thomas Dreher;Lilian Calvet,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Interactive Pipeline for Mandible Reconstruction Surgery Planning using Fibula Free Flap,Sylvain Leclerc;Bianca Jansen van Rensburg;Thibault de Villèle;Marie De Boutray;Nabil Zemiti;Noura Faraj,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
SASVi - Segment Any Surgical Video,Ssharvien Kumar R Sivakumar;Yannik Frisch;Amin Ranem;Anirban Mukhopadhyay,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
A Cooperatively Controlled Robotic System with Active Constraints for Enhancing Precision in Bilateral Sagittal Split Osteotomy,Jesse Haworth;Manish Sahu;Katherine Zhu;Jacob Hammond;Hisashi Ishida;Adnan Munawar;Robin Yang;Russ Taylor,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
SurGrID: Controllable Surgical Simulation via Scene Graph to Image Diffusion,Yannik Frisch;Ssharvien Kumar R Sivakumar;Çağhan Köksal;Elsa Böhm;Felix Wagner;Adrian Gericke;Ghazal Ghazaei;Anirban Mukhopadhyay,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Contrastive prototype federated learning against noisy labels in fetal standard plane detection,Maria Chiara Fiorentino;Giovanna Migliorelli;Francesca Pia Villani;Emanuele Frontoni;Sara Moccia,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
FLex: Joint Pose and Dynamic Radiance Fields Optimization for Stereo Endoscopic Videos,Florian Stilz;Mert Asim Karaoglu;Felix Tristram;Nassir Navab;Benjamin Busam;Alexander Ladikos,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
A Multi-Model Deep Learning Approach for the Identification of Coronary Artery Calcifications within 2D Coronary Angiography Images,Edoardo De Rose;Ciro Benito Raggio;Ahmad Riccardo Rasheed;Pierangela Bruno;Paolo Zaffino;Salvatore De Rosa;Francesco Calimeri;M. Francesca Spadea,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Intelligent Control of Robotic X-ray Devices using a Language-promptable Digital Twin,Benjamin Killeen;Anushri Suresh;Catalina Gomez;Blanca Inigo;Christopher Bailey;Mathias Unberath,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
perfDSA: Automatic Perfusion Imaging in Cerebral Digital Subtraction Angiography,Ruisheng Su;P. van der Sluijs;Flavius-Gabriel Marc;Frank Te Nijenhuis;Sandra Cornelissen;Bob Roozenbeek;Wim van Zwam;Aad van der Lugt;Danny Ruijters;Josien Pluim;Theo van Walsum,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
DivGI: Delve into Digestive Endoscopy Image Classification,Qi He;Sophia Bano;Danail Stoyanov;Siyang Zuo,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
